vrsta;starostna skupina;leto;spol;vrednost
Priseljeni iz tujine; ;;;
Priseljeni iz tujine;;;;
Priseljeni iz tujine; SKUPAJ;;;
 ;20-24 let;;;
 ; ;2000;;
 ; ; ;Moški;758
 ; ; ;Ženske;288
 ; ;2001;;
 ; ; ;Moški;929
 ; ; ;Ženske;500
 ; ;2002;;
 ; ; ;Moški;1034
 ; ; ;Ženske;547
 ; ;2003;;
 ; ; ;Moški;1089
 ; ; ;Ženske;536
 ; ;2004;;
 ; ; ;Moški;1270
 ; ; ;Ženske;477
 ; ;2005;;
 ; ; ;Moški;2030
 ; ; ;Ženske;658
 ; ;2006;;
 ; ; ;Moški;3140
 ; ; ;Ženske;647
 ; ;2007;;
 ; ; ;Moški;4535
 ; ; ;Ženske;832
 ; ;2008;;
 ; ; ;Moški;4134
 ; ; ;Ženske;880
 ; ;2009;;
 ; ; ;Moški;3946
 ; ; ;Ženske;1173
 ; ;2010;;
 ; ; ;Moški;1261
 ; ; ;Ženske;814
 ; ;2011;;
 ; ; ;Moški;876
 ; ; ;Ženske;744
 ; ;2012;;
 ; ; ;Moški;930
 ; ; ;Ženske;864
 ; ;2013;;
 ; ; ;Moški;854
 ; ; ;Ženske;745
 ; ;2014;;
 ; ; ;Moški;813
 ; ; ;Ženske;749
 ; ;2015;;
 ; ; ;Moški;874
 ; ; ;Ženske;776
 ;25-29 let;;;
 ; ;2000;;
 ; ; ;Moški;777
 ; ; ;Ženske;289
 ; ;2001;;
 ; ; ;Moški;900
 ; ; ;Ženske;423
 ; ;2002;;
 ; ; ;Moški;1040
 ; ; ;Ženske;470
 ; ;2003;;
 ; ; ;Moški;1050
 ; ; ;Ženske;470
 ; ;2004;;
 ; ; ;Moški;1226
 ; ; ;Ženske;443
 ; ;2005;;
 ; ; ;Moški;1880
 ; ; ;Ženske;610
 ; ;2006;;
 ; ; ;Moški;2723
 ; ; ;Ženske;591
 ; ;2007;;
 ; ; ;Moški;4246
 ; ; ;Ženske;846
 ; ;2008;;
 ; ; ;Moški;4348
 ; ; ;Ženske;1014
 ; ;2009;;
 ; ; ;Moški;4402
 ; ; ;Ženske;1148
 ; ;2010;;
 ; ; ;Moški;1644
 ; ; ;Ženske;851
 ; ;2011;;
 ; ; ;Moški;1168
 ; ; ;Ženske;889
 ; ;2012;;
 ; ; ;Moški;1332
 ; ; ;Ženske;908
 ; ;2013;;
 ; ; ;Moški;1212
 ; ; ;Ženske;838
 ; ;2014;;
 ; ; ;Moški;1047
 ; ; ;Ženske;824
 ; ;2015;;
 ; ; ;Moški;1251
 ; ; ;Ženske;879
 ;30-34 let;;;
 ; ;2000;;
 ; ; ;Moški;578
 ; ; ;Ženske;210
 ; ;2001;;
 ; ; ;Moški;700
 ; ; ;Ženske;288
 ; ;2002;;
 ; ; ;Moški;826
 ; ; ;Ženske;327
 ; ;2003;;
 ; ; ;Moški;875
 ; ; ;Ženske;326
 ; ;2004;;
 ; ; ;Moški;1055
 ; ; ;Ženske;265
 ; ;2005;;
 ; ; ;Moški;1524
 ; ; ;Ženske;448
 ; ;2006;;
 ; ; ;Moški;2098
 ; ; ;Ženske;477
 ; ;2007;;
 ; ; ;Moški;3457
 ; ; ;Ženske;668
 ; ;2008;;
 ; ; ;Moški;3354
 ; ; ;Ženske;842
 ; ;2009;;
 ; ; ;Moški;3408
 ; ; ;Ženske;932
 ; ;2010;;
 ; ; ;Moški;1264
 ; ; ;Ženske;655
 ; ;2011;;
 ; ; ;Moški;1074
 ; ; ;Ženske;695
 ; ;2012;;
 ; ; ;Moški;1236
 ; ; ;Ženske;707
 ; ;2013;;
 ; ; ;Moški;1089
 ; ; ;Ženske;623
 ; ;2014;;
 ; ; ;Moški;1083
 ; ; ;Ženske;687
 ; ;2015;;
 ; ; ;Moški;1195
 ; ; ;Ženske;803
 ;35-39 let;;;
 ; ;2000;;
 ; ; ;Moški;618
 ; ; ;Ženske;152
 ; ;2001;;
 ; ; ;Moški;653
 ; ; ;Ženske;171
 ; ;2002;;
 ; ; ;Moški;737
 ; ; ;Ženske;226
 ; ;2003;;
 ; ; ;Moški;742
 ; ; ;Ženske;246
 ; ;2004;;
 ; ; ;Moški;928
 ; ; ;Ženske;219
 ; ;2005;;
 ; ; ;Moški;1317
 ; ; ;Ženske;291
 ; ;2006;;
 ; ; ;Moški;1864
 ; ; ;Ženske;368
 ; ;2007;;
 ; ; ;Moški;2915
 ; ; ;Ženske;500
 ; ;2008;;
 ; ; ;Moški;2940
 ; ; ;Ženske;611
 ; ;2009;;
 ; ; ;Moški;2700
 ; ; ;Ženske;694
 ; ;2010;;
 ; ; ;Moški;1096
 ; ; ;Ženske;493
 ; ;2011;;
 ; ; ;Moški;869
 ; ; ;Ženske;558
 ; ;2012;;
 ; ; ;Moški;1025
 ; ; ;Ženske;582
 ; ;2013;;
 ; ; ;Moški;953
 ; ; ;Ženske;510
 ; ;2014;;
 ; ; ;Moški;938
 ; ; ;Ženske;546
 ; ;2015;;
 ; ; ;Moški;1083
 ; ; ;Ženske;629
 ;40-44 let;;;
 ; ;2000;;
 ; ; ;Moški;451
 ; ; ;Ženske;106
 ; ;2001;;
 ; ; ;Moški;591
 ; ; ;Ženske;160
 ; ;2002;;
 ; ; ;Moški;689
 ; ; ;Ženske;179
 ; ;2003;;
 ; ; ;Moški;668
 ; ; ;Ženske;223
 ; ;2004;;
 ; ; ;Moški;822
 ; ; ;Ženske;186
 ; ;2005;;
 ; ; ;Moški;1105
 ; ; ;Ženske;261
 ; ;2006;;
 ; ; ;Moški;1594
 ; ; ;Ženske;294
 ; ;2007;;
 ; ; ;Moški;2518
 ; ; ;Ženske;373
 ; ;2008;;
 ; ; ;Moški;2578
 ; ; ;Ženske;478
 ; ;2009;;
 ; ; ;Moški;2456
 ; ; ;Ženske;498
 ; ;2010;;
 ; ; ;Moški;1011
 ; ; ;Ženske;374
 ; ;2011;;
 ; ; ;Moški;836
 ; ; ;Ženske;375
 ; ;2012;;
 ; ; ;Moški;851
 ; ; ;Ženske;430
 ; ;2013;;
 ; ; ;Moški;773
 ; ; ;Ženske;384
 ; ;2014;;
 ; ; ;Moški;775
 ; ; ;Ženske;394
 ; ;2015;;
 ; ; ;Moški;800
 ; ; ;Ženske;515
 ;45-49 let;;;
 ; ;2000;;
 ; ; ;Moški;379
 ; ; ;Ženske;101
 ; ;2001;;
 ; ; ;Moški;434
 ; ; ;Ženske;126
 ; ;2002;;
 ; ; ;Moški;493
 ; ; ;Ženske;158
 ; ;2003;;
 ; ; ;Moški;442
 ; ; ;Ženske;162
 ; ;2004;;
 ; ; ;Moški;572
 ; ; ;Ženske;123
 ; ;2005;;
 ; ; ;Moški;830
 ; ; ;Ženske;162
 ; ;2006;;
 ; ; ;Moški;1254
 ; ; ;Ženske;217
 ; ;2007;;
 ; ; ;Moški;1897
 ; ; ;Ženske;288
 ; ;2008;;
 ; ; ;Moški;1907
 ; ; ;Ženske;369
 ; ;2009;;
 ; ; ;Moški;1861
 ; ; ;Ženske;369
 ; ;2010;;
 ; ; ;Moški;790
 ; ; ;Ženske;281
 ; ;2011;;
 ; ; ;Moški;683
 ; ; ;Ženske;291
 ; ;2012;;
 ; ; ;Moški;712
 ; ; ;Ženske;263
 ; ;2013;;
 ; ; ;Moški;759
 ; ; ;Ženske;291
 ; ;2014;;
 ; ; ;Moški;681
 ; ; ;Ženske;290
 ; ;2015;;
 ; ; ;Moški;742
 ; ; ;Ženske;321
 ;50-54 let;;;
 ; ;2000;;
 ; ; ;Moški;162
 ; ; ;Ženske;77
 ; ;2001;;
 ; ; ;Moški;278
 ; ; ;Ženske;100
 ; ;2002;;
 ; ; ;Moški;302
 ; ; ;Ženske;136
 ; ;2003;;
 ; ; ;Moški;237
 ; ; ;Ženske;155
 ; ;2004;;
 ; ; ;Moški;346
 ; ; ;Ženske;106
 ; ;2005;;
 ; ; ;Moški;512
 ; ; ;Ženske;181
 ; ;2006;;
 ; ; ;Moški;695
 ; ; ;Ženske;180
 ; ;2007;;
 ; ; ;Moški;1136
 ; ; ;Ženske;185
 ; ;2008;;
 ; ; ;Moški;1117
 ; ; ;Ženske;218
 ; ;2009;;
 ; ; ;Moški;1102
 ; ; ;Ženske;258
 ; ;2010;;
 ; ; ;Moški;563
 ; ; ;Ženske;210
 ; ;2011;;
 ; ; ;Moški;507
 ; ; ;Ženske;252
 ; ;2012;;
 ; ; ;Moški;565
 ; ; ;Ženske;210
 ; ;2013;;
 ; ; ;Moški;542
 ; ; ;Ženske;203
 ; ;2014;;
 ; ; ;Moški;534
 ; ; ;Ženske;207
 ; ;2015;;
 ; ; ;Moški;549
 ; ; ;Ženske;234
 ;55-59 let;;;
 ; ;2000;;
 ; ; ;Moški;94
 ; ; ;Ženske;51
 ; ;2001;;
 ; ; ;Moški;140
 ; ; ;Ženske;61
 ; ;2002;;
 ; ; ;Moški;177
 ; ; ;Ženske;86
 ; ;2003;;
 ; ; ;Moški;176
 ; ; ;Ženske;100
 ; ;2004;;
 ; ; ;Moški;141
 ; ; ;Ženske;81
 ; ;2005;;
 ; ; ;Moški;244
 ; ; ;Ženske;129
 ; ;2006;;
 ; ; ;Moški;292
 ; ; ;Ženske;152
 ; ;2007;;
 ; ; ;Moški;419
 ; ; ;Ženske;176
 ; ;2008;;
 ; ; ;Moški;523
 ; ; ;Ženske;196
 ; ;2009;;
 ; ; ;Moški;483
 ; ; ;Ženske;191
 ; ;2010;;
 ; ; ;Moški;314
 ; ; ;Ženske;188
 ; ;2011;;
 ; ; ;Moški;351
 ; ; ;Ženske;210
 ; ;2012;;
 ; ; ;Moški;367
 ; ; ;Ženske;147
 ; ;2013;;
 ; ; ;Moški;329
 ; ; ;Ženske;146
 ; ;2014;;
 ; ; ;Moški;322
 ; ; ;Ženske;159
 ; ;2015;;
 ; ; ;Moški;357
 ; ; ;Ženske;155
 ;60-64 let;;;
 ; ;2000;;
 ; ; ;Moški;86
 ; ; ;Ženske;44
 ; ;2001;;
 ; ; ;Moški;100
 ; ; ;Ženske;73
 ; ;2002;;
 ; ; ;Moški;123
 ; ; ;Ženske;86
 ; ;2003;;
 ; ; ;Moški;116
 ; ; ;Ženske;83
 ; ;2004;;
 ; ; ;Moški;132
 ; ; ;Ženske;87
 ; ;2005;;
 ; ; ;Moški;145
 ; ; ;Ženske;93
 ; ;2006;;
 ; ; ;Moški;138
 ; ; ;Ženske;96
 ; ;2007;;
 ; ; ;Moški;218
 ; ; ;Ženske;131
 ; ;2008;;
 ; ; ;Moški;274
 ; ; ;Ženske;159
 ; ;2009;;
 ; ; ;Moški;229
 ; ; ;Ženske;160
 ; ;2010;;
 ; ; ;Moški;230
 ; ; ;Ženske;136
 ; ;2011;;
 ; ; ;Moški;255
 ; ; ;Ženske;233
 ; ;2012;;
 ; ; ;Moški;248
 ; ; ;Ženske;197
 ; ;2013;;
 ; ; ;Moški;220
 ; ; ;Ženske;159
 ; ;2014;;
 ; ; ;Moški;193
 ; ; ;Ženske;153
 ; ;2015;;
 ; ; ;Moški;203
 ; ; ;Ženske;137
 ;65-69 let;;;
 ; ;2000;;
 ; ; ;Moški;44
 ; ; ;Ženske;39
 ; ;2001;;
 ; ; ;Moški;43
 ; ; ;Ženske;38
 ; ;2002;;
 ; ; ;Moški;69
 ; ; ;Ženske;56
 ; ;2003;;
 ; ; ;Moški;69
 ; ; ;Ženske;61
 ; ;2004;;
 ; ; ;Moški;76
 ; ; ;Ženske;60
 ; ;2005;;
 ; ; ;Moški;90
 ; ; ;Ženske;59
 ; ;2006;;
 ; ; ;Moški;87
 ; ; ;Ženske;82
 ; ;2007;;
 ; ; ;Moški;152
 ; ; ;Ženske;81
 ; ;2008;;
 ; ; ;Moški;189
 ; ; ;Ženske;125
 ; ;2009;;
 ; ; ;Moški;154
 ; ; ;Ženske;98
 ; ;2010;;
 ; ; ;Moški;151
 ; ; ;Ženske;89
 ; ;2011;;
 ; ; ;Moški;169
 ; ; ;Ženske;116
 ; ;2012;;
 ; ; ;Moški;175
 ; ; ;Ženske;96
 ; ;2013;;
 ; ; ;Moški;144
 ; ; ;Ženske;90
 ; ;2014;;
 ; ; ;Moški;139
 ; ; ;Ženske;118
 ; ;2015;;
 ; ; ;Moški;150
 ; ; ;Ženske;103
 ;70-74 let;;;
 ; ;2000;;
 ; ; ;Moški;23
 ; ; ;Ženske;23
 ; ;2001;;
 ; ; ;Moški;33
 ; ; ;Ženske;35
 ; ;2002;;
 ; ; ;Moški;33
 ; ; ;Ženske;45
 ; ;2003;;
 ; ; ;Moški;38
 ; ; ;Ženske;48
 ; ;2004;;
 ; ; ;Moški;36
 ; ; ;Ženske;37
 ; ;2005;;
 ; ; ;Moški;53
 ; ; ;Ženske;49
 ; ;2006;;
