vrsta;starostna skupina;leto;spol;vrednost
Priseljeni iz tujine; ;;;
Priseljeni iz tujine;;;;
Priseljeni iz tujine; SKUPAJ;;;
 ; ; ;Ženske;98
 ; ;2007;;
 ; ; ;Moški;149
 ; ; ;Ženske;154
 ; ;2008;;
 ; ; ;Moški;168
 ; ; ;Ženske;136
 ; ;2009;;
 ; ; ;Moški;173
 ; ; ;Ženske;151
 ; ;2010;;
 ; ; ;Moški;175
 ; ; ;Ženske;113
 ; ;2011;;
 ; ; ;Moški;126
 ; ; ;Ženske;121
 ; ;2012;;
 ; ; ;Moški;197
 ; ; ;Ženske;184
 ; ;2013;;
 ; ; ;Moški;198
 ; ; ;Ženske;181
 ; ;2014;;
 ; ; ;Moški;246
 ; ; ;Ženske;212
 ; ;2015;;
 ; ; ;Moški;275
 ; ; ;Ženske;233
 ;15-19 let;;;
 ; ;2000;;
 ; ; ;Moški;159
 ; ; ;Ženske;67
 ; ;2001;;
 ; ; ;Moški;120
 ; ; ;Ženske;85
 ; ;2002;;
 ; ; ;Moški;153
 ; ; ;Ženske;137
 ; ;2003;;
 ; ; ;Moški;136
 ; ; ;Ženske;91
 ; ;2004;;
 ; ; ;Moški;278
 ; ; ;Ženske;106
 ; ;2005;;
 ; ; ;Moški;298
 ; ; ;Ženske;132
 ; ;2006;;
 ; ; ;Moški;374
 ; ; ;Ženske;153
 ; ;2007;;
 ; ; ;Moški;350
 ; ; ;Ženske;226
 ; ;2008;;
 ; ; ;Moški;201
 ; ; ;Ženske;185
 ; ;2009;;
 ; ; ;Moški;294
 ; ; ;Ženske;171
 ; ;2010;;
 ; ; ;Moški;227
 ; ; ;Ženske;177
 ; ;2011;;
 ; ; ;Moški;148
 ; ; ;Ženske;158
 ; ;2012;;
 ; ; ;Moški;266
 ; ; ;Ženske;213
 ; ;2013;;
 ; ; ;Moški;222
 ; ; ;Ženske;190
 ; ;2014;;
 ; ; ;Moški;231
 ; ; ;Ženske;195
 ; ;2015;;
 ; ; ;Moški;256
 ; ; ;Ženske;206
 ;20-24 let;;;
 ; ;2000;;
 ; ; ;Moški;219
 ; ; ;Ženske;133
 ; ;2001;;
 ; ; ;Moški;589
 ; ; ;Ženske;211
 ; ;2002;;
 ; ; ;Moški;745
 ; ; ;Ženske;445
 ; ;2003;;
 ; ; ;Moški;452
 ; ; ;Ženske;394
 ; ;2004;;
 ; ; ;Moški;1052
 ; ; ;Ženske;305
 ; ;2005;;
 ; ; ;Moški;1274
 ; ; ;Ženske;234
 ; ;2006;;
 ; ; ;Moški;2256
 ; ; ;Ženske;407
 ; ;2007;;
 ; ; ;Moški;1899
 ; ; ;Ženske;600
 ; ;2008;;
 ; ; ;Moški;881
 ; ; ;Ženske;334
 ; ;2009;;
 ; ; ;Moški;2358
 ; ; ;Ženske;509
 ; ;2010;;
 ; ; ;Moški;1549
 ; ; ;Ženske;488
 ; ;2011;;
 ; ; ;Moški;837
 ; ; ;Ženske;386
 ; ;2012;;
 ; ; ;Moški;656
 ; ; ;Ženske;436
 ; ;2013;;
 ; ; ;Moški;612
 ; ; ;Ženske;484
 ; ;2014;;
 ; ; ;Moški;642
 ; ; ;Ženske;597
 ; ;2015;;
 ; ; ;Moški;646
 ; ; ;Ženske;631
 ;25-29 let;;;
 ; ;2000;;
 ; ; ;Moški;333
 ; ; ;Ženske;190
 ; ;2001;;
 ; ; ;Moški;698
 ; ; ;Ženske;203
 ; ;2002;;
 ; ; ;Moški;856
 ; ; ;Ženske;418
 ; ;2003;;
 ; ; ;Moški;550
 ; ; ;Ženske;420
 ; ;2004;;
 ; ; ;Moški;1160
 ; ; ;Ženske;399
 ; ;2005;;
 ; ; ;Moški;1257
 ; ; ;Ženske;303
 ; ;2006;;
 ; ; ;Moški;2001
 ; ; ;Ženske;439
 ; ;2007;;
 ; ; ;Moški;1858
 ; ; ;Ženske;679
 ; ;2008;;
 ; ; ;Moški;1148
 ; ; ;Ženske;511
 ; ;2009;;
 ; ; ;Moški;2779
 ; ; ;Ženske;615
 ; ;2010;;
 ; ; ;Moški;2029
 ; ; ;Ženske;634
 ; ;2011;;
 ; ; ;Moški;1159
 ; ; ;Ženske;532
 ; ;2012;;
 ; ; ;Moški;1129
 ; ; ;Ženske;692
 ; ;2013;;
 ; ; ;Moški;1057
 ; ; ;Ženske;777
 ; ;2014;;
 ; ; ;Moški;1214
 ; ; ;Ženske;939
 ; ;2015;;
 ; ; ;Moški;1248
 ; ; ;Ženske;1055
 ;30-34 let;;;
 ; ;2000;;
 ; ; ;Moški;302
 ; ; ;Ženske;157
 ; ;2001;;
 ; ; ;Moški;559
 ; ; ;Ženske;140
 ; ;2002;;
 ; ; ;Moški;735
 ; ; ;Ženske;327
 ; ;2003;;
 ; ; ;Moški;622
 ; ; ;Ženske;334
 ; ;2004;;
 ; ; ;Moški;959
 ; ; ;Ženske;300
 ; ;2005;;
 ; ; ;Moški;968
 ; ; ;Ženske;257
 ; ;2006;;
 ; ; ;Moški;1517
 ; ; ;Ženske;397
 ; ;2007;;
 ; ; ;Moški;1447
 ; ; ;Ženske;539
 ; ;2008;;
 ; ; ;Moški;1000
 ; ; ;Ženske;509
 ; ;2009;;
 ; ; ;Moški;2168
 ; ; ;Ženske;540
 ; ;2010;;
 ; ; ;Moški;1636
 ; ; ;Ženske;550
 ; ;2011;;
 ; ; ;Moški;1107
 ; ; ;Ženske;522
 ; ;2012;;
 ; ; ;Moški;1179
 ; ; ;Ženske;720
 ; ;2013;;
 ; ; ;Moški;1072
 ; ; ;Ženske;759
 ; ;2014;;
 ; ; ;Moški;1181
 ; ; ;Ženske;829
 ; ;2015;;
 ; ; ;Moški;1261
 ; ; ;Ženske;860
 ;35-39 let;;;
 ; ;2000;;
 ; ; ;Moški;304
 ; ; ;Ženske;110
 ; ;2001;;
 ; ; ;Moški;424
 ; ; ;Ženske;109
 ; ;2002;;
 ; ; ;Moški;544
 ; ; ;Ženske;267
 ; ;2003;;
 ; ; ;Moški;450
 ; ; ;Ženske;261
 ; ;2004;;
 ; ; ;Moški;753
 ; ; ;Ženske;199
 ; ;2005;;
 ; ; ;Moški;757
 ; ; ;Ženske;187
 ; ;2006;;
 ; ; ;Moški;1212
 ; ; ;Ženske;276
 ; ;2007;;
 ; ; ;Moški;1193
 ; ; ;Ženske;407
 ; ;2008;;
 ; ; ;Moški;1078
 ; ; ;Ženske;408
 ; ;2009;;
 ; ; ;Moški;1791
 ; ; ;Ženske;383
 ; ;2010;;
 ; ; ;Moški;1382
 ; ; ;Ženske;418
 ; ;2011;;
 ; ; ;Moški;906
 ; ; ;Ženske;399
 ; ;2012;;
 ; ; ;Moški;1002
 ; ; ;Ženske;674
 ; ;2013;;
 ; ; ;Moški;967
 ; ; ;Ženske;591
 ; ;2014;;
 ; ; ;Moški;1001
 ; ; ;Ženske;574
 ; ;2015;;
 ; ; ;Moški;1051
 ; ; ;Ženske;618
 ;40-44 let;;;
 ; ;2000;;
 ; ; ;Moški;201
 ; ; ;Ženske;73
 ; ;2001;;
 ; ; ;Moški;350
 ; ; ;Ženske;94
 ; ;2002;;
 ; ; ;Moški;468
 ; ; ;Ženske;201
 ; ;2003;;
 ; ; ;Moški;366
 ; ; ;Ženske;148
 ; ;2004;;
 ; ; ;Moški;521
 ; ; ;Ženske;141
 ; ;2005;;
 ; ; ;Moški;707
 ; ; ;Ženske;153
 ; ;2006;;
 ; ; ;Moški;1000
 ; ; ;Ženske;246
 ; ;2007;;
 ; ; ;Moški;1015
 ; ; ;Ženske;330
 ; ;2008;;
 ; ; ;Moški;984
 ; ; ;Ženske;257
 ; ;2009;;
 ; ; ;Moški;1654
 ; ; ;Ženske;283
 ; ;2010;;
 ; ; ;Moški;1229
 ; ; ;Ženske;305
 ; ;2011;;
 ; ; ;Moški;863
 ; ; ;Ženske;269
 ; ;2012;;
 ; ; ;Moški;861
 ; ; ;Ženske;481
 ; ;2013;;
 ; ; ;Moški;750
 ; ; ;Ženske;432
 ; ;2014;;
 ; ; ;Moški;812
 ; ; ;Ženske;428
 ; ;2015;;
 ; ; ;Moški;888
 ; ; ;Ženske;435
 ;45-49 let;;;
 ; ;2000;;
 ; ; ;Moški;186
 ; ; ;Ženske;85
 ; ;2001;;
 ; ; ;Moški;194
 ; ; ;Ženske;89
 ; ;2002;;
 ; ; ;Moški;267
 ; ; ;Ženske;148
 ; ;2003;;
 ; ; ;Moški;263
 ; ; ;Ženske;207
 ; ;2004;;
 ; ; ;Moški;446
 ; ; ;Ženske;103
 ; ;2005;;
 ; ; ;Moški;540
 ; ; ;Ženske;101
 ; ;2006;;
 ; ; ;Moški;815
 ; ; ;Ženske;170
 ; ;2007;;
 ; ; ;Moški;924
 ; ; ;Ženske;219
 ; ;2008;;
 ; ; ;Moški;825
 ; ; ;Ženske;224
 ; ;2009;;
 ; ; ;Moški;1330
 ; ; ;Ženske;207
 ; ;2010;;
 ; ; ;Moški;967
 ; ; ;Ženske;255
 ; ;2011;;
 ; ; ;Moški;747
 ; ; ;Ženske;222
 ; ;2012;;
 ; ; ;Moški;844
 ; ; ;Ženske;379
 ; ;2013;;
 ; ; ;Moški;634
 ; ; ;Ženske;334
 ; ;2014;;
 ; ; ;Moški;715
 ; ; ;Ženske;312
 ; ;2015;;
 ; ; ;Moški;717
 ; ; ;Ženske;316
 ;50-54 let;;;
 ; ;2000;;
 ; ; ;Moški;137
 ; ; ;Ženske;62
 ; ;2001;;
 ; ; ;Moški;140
 ; ; ;Ženske;66
 ; ;2002;;
 ; ; ;Moški;215
 ; ; ;Ženske;181
 ; ;2003;;
 ; ; ;Moški;118
 ; ; ;Ženske;121
 ; ;2004;;
 ; ; ;Moški;273
 ; ; ;Ženske;142
 ; ;2005;;
 ; ; ;Moški;270
 ; ; ;Ženske;123
 ; ;2006;;
 ; ; ;Moški;553
 ; ; ;Ženske;187
 ; ;2007;;
 ; ; ;Moški;643
 ; ; ;Ženske;195
 ; ;2008;;
 ; ; ;Moški;567
 ; ; ;Ženske;206
 ; ;2009;;
 ; ; ;Moški;861
 ; ; ;Ženske;175
 ; ;2010;;
 ; ; ;Moški;730
 ; ; ;Ženske;225
 ; ;2011;;
 ; ; ;Moški;578
 ; ; ;Ženske;203
 ; ;2012;;
 ; ; ;Moški;586
 ; ; ;Ženske;289
 ; ;2013;;
 ; ; ;Moški;524
 ; ; ;Ženske;276
 ; ;2014;;
 ; ; ;Moški;520
 ; ; ;Ženske;257
 ; ;2015;;
 ; ; ;Moški;569
 ; ; ;Ženske;192
 ;55-59 let;;;
 ; ;2000;;
 ; ; ;Moški;104
 ; ; ;Ženske;53
 ; ;2001;;
 ; ; ;Moški;92
 ; ; ;Ženske;60
 ; ;2002;;
 ; ; ;Moški;133
 ; ; ;Ženske;112
 ; ;2003;;
 ; ; ;Moški;85
 ; ; ;Ženske;92
 ; ;2004;;
 ; ; ;Moški;126
 ; ; ;Ženske;104
 ; ;2005;;
 ; ; ;Moški;170
 ; ; ;Ženske;94
 ; ;2006;;
 ; ; ;Moški;322
 ; ; ;Ženske;170
 ; ;2007;;
 ; ; ;Moški;399
 ; ; ;Ženske;195
 ; ;2008;;
 ; ; ;Moški;399
 ; ; ;Ženske;314
 ; ;2009;;
 ; ; ;Moški;443
 ; ; ;Ženske;154
 ; ;2010;;
 ; ; ;Moški;442
 ; ; ;Ženske;209
 ; ;2011;;
 ; ; ;Moški;458
 ; ; ;Ženske;168
 ; ;2012;;
 ; ; ;Moški;480
 ; ; ;Ženske;302
 ; ;2013;;
 ; ; ;Moški;462
 ; ; ;Ženske;235
 ; ;2014;;
 ; ; ;Moški;439
 ; ; ;Ženske;183
 ; ;2015;;
 ; ; ;Moški;434
 ; ; ;Ženske;148
 ;60-64 let;;;
 ; ;2000;;
 ; ; ;Moški;122
 ; ; ;Ženske;44
 ; ;2001;;
 ; ; ;Moški;92
 ; ; ;Ženske;41
 ; ;2002;;
 ; ; ;Moški;122
 ; ; ;Ženske;80
 ; ;2003;;
 ; ; ;Moški;58
 ; ; ;Ženske;67
 ; ;2004;;
 ; ; ;Moški;114
 ; ; ;Ženske;77
 ; ;2005;;
 ; ; ;Moški;102
 ; ; ;Ženske;62
 ; ;2006;;
 ; ; ;Moški;167
 ; ; ;Ženske;99
 ; ;2007;;
 ; ; ;Moški;221
 ; ; ;Ženske;131
 ; ;2008;;
 ; ; ;Moški;307
 ; ; ;Ženske;220
 ; ;2009;;
 ; ; ;Moški;226
 ; ; ;Ženske;148
 ; ;2010;;
 ; ; ;Moški;353
 ; ; ;Ženske;156
 ; ;2011;;
 ; ; ;Moški;378
 ; ; ;Ženske;184
 ; ;2012;;
 ; ; ;Moški;447
 ; ; ;Ženske;338
 ; ;2013;;
 ; ; ;Moški;385
 ; ; ;Ženske;286
 ; ;2014;;
 ; ; ;Moški;414
 ; ; ;Ženske;191
 ; ;2015;;
 ; ; ;Moški;356
 ; ; ;Ženske;168
 ;65-69 let;;;
 ; ;2000;;
 ; ; ;Moški;52
 ; ; ;Ženske;29
 ; ;2001;;
 ; ; ;Moški;48
 ; ; ;Ženske;28
 ; ;2002;;
 ; ; ;Moški;66
 ; ; ;Ženske;70
 ; ;2003;;
 ; ; ;Moški;72
 ; ; ;Ženske;39
 ; ;2004;;
 ; ; ;Moški;89
 ; ; ;Ženske;40
 ; ;2005;;
 ; ; ;Moški;59
 ; ; ;Ženske;35
 ; ;2006;;
 ; ; ;Moški;93
 ; ; ;Ženske;72
 ; ;2007;;
 ; ; ;Moški;146
 ; ; ;Ženske;111
 ; ;2008;;
 ; ; ;Moški;195
 ; ; ;Ženske;151
 ; ;2009;;
 ; ; ;Moški;160
 ; ; ;Ženske;90
 ; ;2010;;
 ; ; ;Moški;183
 ; ; ;Ženske;115
 ; ;2011;;
 ; ; ;Moški;218
 ; ; ;Ženske;101
 ; ;2012;;
 ; ; ;Moški;281
 ; ; ;Ženske;167
 ; ;2013;;
 ; ; ;Moški;191
 ; ; ;Ženske;141
 ; ;2014;;
 ; ; ;Moški;212
 ; ; ;Ženske;122
 ; ;2015;;
 ; ; ;Moški;238
 ; ; ;Ženske;137
 ;70-74 let;;;
 ; ;2000;;
 ; ; ;Moški;36
 ; ; ;Ženske;25
 ; ;2001;;
 ; ; ;Moški;13
 ; ; ;Ženske;25
 ; ;2002;;
 ; ; ;Moški;26
 ; ; ;Ženske;37
 ; ;2003;;
 ; ; ;Moški;29
 ; ; ;Ženske;29
 ; ;2004;;
 ; ; ;Moški;43
 ; ; ;Ženske;26
 ; ;2005;;
 ; ; ;Moški;32
 ; ; ;Ženske;32
 ; ;2006;;
 ; ; ;Moški;36
 ; ; ;Ženske;33
 ; ;2007;;
 ; ; ;Moški;64
 ; ; ;Ženske;65
 ; ;2008;;
 ; ; ;Moški;104
 ; ; ;Ženske;115
 ; ;2009;;
 ; ; ;Moški;98
 ; ; ;Ženske;82
 ; ;2010;;
 ; ; ;Moški;100
 ; ; ;Ženske;84
 ; ;2011;;
 ; ; ;Moški;100
 ; ; ;Ženske;94
 ; ;2012;;
 ; ; ;Moški;133
 ; ; ;Ženske;127
 ; ;2013;;
 ; ; ;Moški;143
 ; ; ;Ženske;96
 ; ;2014;;
 ; ; ;Moški;145
 ; ; ;Ženske;99
 ; ;2015;;
 ; ; ;Moški;132
 ; ; ;Ženske;86
 ;75-79 let;;;
 ; ;2000;;
 ; ; ;Moški;21
 ; ; ;Ženske;18
 ; ;2001;;
 ; ; ;Moški;13
 ; ; ;Ženske;15
 ; ;2002;;
 ; ; ;Moški;17
 ; ; ;Ženske;18
 ; ;2003;;
 ; ; ;Moški;17
 ; ; ;Ženske;14
 ; ;2004;;
 ; ; ;Moški;27
 ; ; ;Ženske;25
 ; ;2005;;
 ; ; ;Moški;18
 ; ; ;Ženske;21
 ; ;2006;;
 ; ; ;Moški;15
 ; ; ;Ženske;31
 ; ;2007;;
 ; ; ;Moški;39
 ; ; ;Ženske;46
 ; ;2008;;
 ; ; ;Moški;57
 ; ; ;Ženske;57
 ; ;2009;;
 ; ; ;Moški;54
 ; ; ;Ženske;61
 ; ;2010;;
 ; ; ;Moški;56
 ; ; ;Ženske;68
 ; ;2011;;
 ; ; ;Moški;57
 ; ; ;Ženske;59
 ; ;2012;;
 ; ; ;Moški;74
 ; ; ;Ženske;85
 ; ;2013;;
 ; ; ;Moški;62
 ; ; ;Ženske;61
 ; ;2014;;
 ; ; ;Moški;67
 ; ; ;Ženske;64
 ; ;2015;;
 ; ; ;Moški;87
 ; ; ;Ženske;64
 ;80-84 let;;;
 ; ;2000;;
 ; ; ;Moški;10
 ; ; ;Ženske;13
 ; ;2001;;
 ; ; ;Moški;9
 ; ; ;Ženske;8
 ; ;2002;;
 ; ; ;Moški;11
 ; ; ;Ženske;14
 ; ;2003;;
 ; ; ;Moški;7
 ; ; ;Ženske;11
 ; ;2004;;
 ; ; ;Moški;10
 ; ; ;Ženske;25
 ; ;2005;;
 ; ; ;Moški;9
 ; ; ;Ženske;12
 ; ;2006;;
 ; ; ;Moški;13
 ; ; ;Ženske;10
 ; ;2007;;
 ; ; ;Moški;24
 ; ; ;Ženske;30
 ; ;2008;;
 ; ; ;Moški;15
 ; ; ;Ženske;33
 ; ;2009;;
 ; ; ;Moški;29
 ; ; ;Ženske;50
 ; ;2010;;
 ; ; ;Moški;35
 ; ; ;Ženske;54
 ; ;2011;;
 ; ; ;Moški;34
 ; ; ;Ženske;44
 ; ;2012;;
 ; ; ;Moški;42
 ; ; ;Ženske;61
 ; ;2013;;
 ; ; ;Moški;34
 ; ; ;Ženske;42
 ; ;2014;;
 ; ; ;Moški;38
 ; ; ;Ženske;48
 ; ;2015;;
 ; ; ;Moški;34
 ; ; ;Ženske;57
 ;85 + let;;;
 ; ;2000;;
 ; ; ;Moški;5
 ; ; ;Ženske;7
 ; ;2001;;
 ; ; ;Moški;2
 ; ; ;Ženske;5
 ; ;2002;;
 ; ; ;Moški;6
 ; ; ;Ženske;9
 ; ;2003;;
 ; ; ;Moški;1
 ; ; ;Ženske;8
 ; ;2004;;
 ; ; ;Moški;6
 ; ; ;Ženske;7
 ; ;2005;;
 ; ; ;Moški;6
 ; ; ;Ženske;6
 ; ;2006;;
 ; ; ;Moški;9
 ; ; ;Ženske;13
 ; ;2007;;
 ; ; ;Moški;6
 ; ; ;Ženske;11
 ; ;2008;;
 ; ; ;Moški;14
 ; ; ;Ženske;19
 ; ;2009;;
 ; ; ;Moški;34
 ; ; ;Ženske;41
 ; ;2010;;
 ; ; ;Moški;30
 ; ; ;Ženske;65
 ; ;2011;;
 ; ; ;Moški;26
 ; ; ;Ženske;49
 ; ;2012;;
 ; ; ;Moški;17
 ; ; ;Ženske;51
 ; ;2013;;
 ; ; ;Moški;18
 ; ; ;Ženske;40
 ; ;2014;;
 ; ; ;Moški;28
 ; ; ;Ženske;38
 ; ;2015;;
 ; ; ;Moški;28
 ; ; ;Ženske;52
;;;;
Vir: Statistièni urad Republike Slovenije. ;;;;
 ;;;;
Za leto 2008 in naprej so podatki pripravljeni skladno z definicijo ;;;;
prebivalstva Slovenije, objavljeno leta 2008. ;;;;
 ;;;;
;;;;
Povezane vsebine: ;;;;
- (seznam ;;;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;;;
e=8150 target=_blank) Metodološka pojasnila ;;;;
;;;;
Starost je èas, ki je pretekel od rojstva osebe do opazovanega ;;;;
dogodka (selitve). Prikazana je v dopolnjenih letih starosti.;;;;
;;;;
Povpreèna starost oseb ob doloèenih dogodkih oziroma èasovnih ;;;;
presekih je tehtana aritmetièna sredina starosti doloèene skupine ;;;;
prebivalstva. Izraèunavamo jo iz absolutnih podatkov. Pri izraèunu ;;;;
upoštevamo kot uteži sredine starostnih razredov. ;;;;
 ;;;;
