Meddržavne selitve po: SELITVE, DRŽAVLJANSTVO, LETO , STATISTIÈNA REGIJA;;;;
;;;;
Priseljeni iz tujine;;;;
Priseljeni iz tujine;Državljani RS;;;
 ; ; ;Primorsko-kraška;58
 ; ; ;Goriška;125
 ; ; ;Obalno-kraška;214
 ; ;2013;;
 ; ; ;Pomurska;105
 ; ; ;Podravska;352
 ; ; ;Koroška;51
 ; ; ;Savinjska;243
 ; ; ;Zasavska;29
 ; ; ;Posavska;83
 ; ; ;Jugovzhodna Slovenija;117
 ; ; ;Osrednjeslovenska;700
 ; ; ;Gorenjska;216
 ; ; ;Primorsko-kraška;66
 ; ; ;Goriška;110
 ; ; ;Obalno-kraška;178
 ; ;2014;;
 ; ; ;Pomurska;175
 ; ; ;Podravska;397
 ; ; ;Koroška;69
 ; ; ;Savinjska;241
 ; ; ;Zasavska;27
 ; ; ;Posavska;101
 ; ; ;Jugovzhodna Slovenija;115
 ; ; ;Osrednjeslovenska;760
 ; ; ;Gorenjska;244
 ; ; ;Primorsko-kraška;75
 ; ; ;Goriška;104
 ; ; ;Obalno-kraška;227
 ; ;2015;;
 ; ; ;Pomurska;147
 ; ; ;Podravska;460
 ; ; ;Koroška;80
 ; ; ;Savinjska;256
 ; ; ;Zasavska;52
 ; ; ;Posavska;96
 ; ; ;Jugovzhodna Slovenija;137
 ; ; ;Osrednjeslovenska;835
 ; ; ;Gorenjska;288
 ; ; ;Primorsko-kraška;68
 ; ; ;Goriška;125
 ; ; ;Obalno-kraška;211
 ;Tuji državljani;;;
 ; ;2000;;
 ; ; ;Pomurska;83
 ; ; ;Podravska;494
 ; ; ;Koroška;68
 ; ; ;Savinjska;757
 ; ; ;Zasavska;96
 ; ; ;Posavska;350
 ; ; ;Jugovzhodna Slovenija;243
 ; ; ;Osrednjeslovenska;1800
 ; ; ;Gorenjska;294
 ; ; ;Primorsko-kraška;130
 ; ; ;Goriška;407
 ; ; ;Obalno-kraška;528
 ; ;2001;;
 ; ; ;Pomurska;83
 ; ; ;Podravska;772
 ; ; ;Koroška;66
 ; ; ;Savinjska;1062
 ; ; ;Zasavska;141
 ; ; ;Posavska;257
 ; ; ;Jugovzhodna Slovenija;362
 ; ; ;Osrednjeslovenska;2321
 ; ; ;Gorenjska;469
 ; ; ;Primorsko-kraška;153
 ; ; ;Goriška;407
 ; ; ;Obalno-kraška;680
 ; ;2002;;
 ; ; ;Pomurska;112
 ; ; ;Podravska;595
 ; ; ;Koroška;84
 ; ; ;Savinjska;1414
 ; ; ;Zasavska;191
 ; ; ;Posavska;567
 ; ; ;Jugovzhodna Slovenija;482
 ; ; ;Osrednjeslovenska;2030
 ; ; ;Gorenjska;531
 ; ; ;Primorsko-kraška;236
 ; ; ;Goriška;593
 ; ; ;Obalno-kraška;867
 ; ;2003;;
 ; ; ;Pomurska;139
 ; ; ;Podravska;594
 ; ; ;Koroška;114
 ; ; ;Savinjska;1367
 ; ; ;Zasavska;202
 ; ; ;Posavska;548
 ; ; ;Jugovzhodna Slovenija;523
 ; ; ;Osrednjeslovenska;2156
 ; ; ;Gorenjska;574
 ; ; ;Primorsko-kraška;284
 ; ; ;Goriška;618
 ; ; ;Obalno-kraška;892
 ; ;2004;;
 ; ; ;Pomurska;64
 ; ; ;Podravska;821
 ; ; ;Koroška;119
 ; ; ;Savinjska;1434
 ; ; ;Zasavska;135
 ; ; ;Posavska;403
 ; ; ;Jugovzhodna Slovenija;543
 ; ; ;Osrednjeslovenska;2739
 ; ; ;Gorenjska;619
 ; ; ;Primorsko-kraška;263
 ; ; ;Goriška;667
 ; ; ;Obalno-kraška;790
 ; ;2005;;
 ; ; ;Pomurska;201
 ; ; ;Podravska;1302
 ; ; ;Koroška;261
 ; ; ;Savinjska;2265
 ; ; ;Zasavska;231
 ; ; ;Posavska;655
 ; ; ;Jugovzhodna Slovenija;806
 ; ; ;Osrednjeslovenska;3992
 ; ; ;Gorenjska;981
 ; ; ;Primorsko-kraška;319
 ; ; ;Goriška;888
 ; ; ;Obalno-kraška;1393
 ; ;2006;;
 ; ; ;Pomurska;281
 ; ; ;Podravska;2085
 ; ; ;Koroška;340
 ; ; ;Savinjska;3057
 ; ; ;Zasavska;162
 ; ; ;Posavska;881
 ; ; ;Jugovzhodna Slovenija;1162
 ; ; ;Osrednjeslovenska;5461
 ; ; ;Gorenjska;1203
 ; ; ;Primorsko-kraška;512
 ; ; ;Goriška;1280
 ; ; ;Obalno-kraška;1827
 ; ;2007;;
 ; ; ;Pomurska;442
 ; ; ;Podravska;3761
 ; ; ;Koroška;374
 ; ; ;Savinjska;4137
 ; ; ;Zasavska;273
 ; ; ;Posavska;878
 ; ; ;Jugovzhodna Slovenija;1983
 ; ; ;Osrednjeslovenska;8233
 ; ; ;Gorenjska;1895
 ; ; ;Primorsko-kraška;936
 ; ; ;Goriška;1988
 ; ; ;Obalno-kraška;2604
 ; ;2008;;
 ; ; ;Pomurska;353
 ; ; ;Podravska;3607
 ; ; ;Koroška;505
 ; ; ;Savinjska;3824
 ; ; ;Zasavska;331
 ; ; ;Posavska;1003
 ; ; ;Jugovzhodna Slovenija;1915
 ; ; ;Osrednjeslovenska;8769
 ; ; ;Gorenjska;2240
 ; ; ;Primorsko-kraška;821
 ; ; ;Goriška;1805
 ; ; ;Obalno-kraška;2889
 ; ;2009;;
 ; ; ;Pomurska;263
 ; ; ;Podravska;3385
 ; ; ;Koroška;520
 ; ; ;Savinjska;3689
 ; ; ;Zasavska;362
 ; ; ;Posavska;828
 ; ; ;Jugovzhodna Slovenija;1809
 ; ; ;Osrednjeslovenska;9120
 ; ; ;Gorenjska;1929
 ; ; ;Primorsko-kraška;863
 ; ; ;Goriška;1852
 ; ; ;Obalno-kraška;2773
 ; ;2010;;
 ; ; ;Pomurska;195
 ; ; ;Podravska;1477
 ; ; ;Koroška;181
 ; ; ;Savinjska;1550
 ; ; ;Zasavska;152
 ; ; ;Posavska;430
 ; ; ;Jugovzhodna Slovenija;762
 ; ; ;Osrednjeslovenska;4223
 ; ; ;Gorenjska;1142
 ; ; ;Primorsko-kraška;342
 ; ; ;Goriška;828
 ; ; ;Obalno-kraška;1423
 ; ;2011;;
 ; ; ;Pomurska;216
 ; ; ;Podravska;1392
 ; ; ;Koroška;239
 ; ; ;Savinjska;1226
 ; ; ;Zasavska;119
 ; ; ;Posavska;307
 ; ; ;Jugovzhodna Slovenija;637
 ; ; ;Osrednjeslovenska;3524
 ; ; ;Gorenjska;964
 ; ; ;Primorsko-kraška;287
 ; ; ;Goriška;647
 ; ; ;Obalno-kraška;1207
 ; ;2012;;
 ; ; ;Pomurska;176
 ; ; ;Podravska;1715
 ; ; ;Koroška;273
 ; ; ;Savinjska;1513
 ; ; ;Zasavska;138
 ; ; ;Posavska;411
 ; ; ;Jugovzhodna Slovenija;583
 ; ; ;Osrednjeslovenska;4068
