Meddržavne selitve po: SELITVE, STAROSTNE SKUPINE, LETO, SPOL ,;;;;;
DRŽAVLJANSTVO;;;;;
;;;;;
Priseljeni iz tujine;;;;;
Priseljeni iz tujine;Starostne skupine - SKUPAJ;;;;
Priseljeni iz tujine;Starostne skupine - SKUPAJ;2000;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;50
 ; ; ; ;Tuji državljani;119
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;47
 ; ; ; ;Tuji državljani;106
 ; ;2005;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;162
 ; ; ; ;Tuji državljani;183
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;151
 ; ; ; ;Tuji državljani;142
 ; ;2006;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;260
 ; ; ; ;Tuji državljani;204
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;223
 ; ; ; ;Tuji državljani;164
 ; ;2007;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;125
 ; ; ; ;Tuji državljani;285
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;109
 ; ; ; ;Tuji državljani;281
 ; ;2008;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;290
 ; ; ; ;Tuji državljani;463
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;264
 ; ; ; ;Tuji državljani;425
 ; ;2009;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;209
 ; ; ; ;Tuji državljani;348
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;188
 ; ; ; ;Tuji državljani;315
 ; ;2010;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;211
 ; ; ; ;Tuji državljani;304
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;183
 ; ; ; ;Tuji državljani;315
 ; ;2011;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;208
 ; ; ; ;Tuji državljani;276
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;163
 ; ; ; ;Tuji državljani;263
 ; ;2012;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;220
 ; ; ; ;Tuji državljani;292
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;197
 ; ; ; ;Tuji državljani;279
 ; ;2013;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;118
 ; ; ; ;Tuji državljani;334
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;103
 ; ; ; ;Tuji državljani;288
 ; ;2014;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;130
 ; ; ; ;Tuji državljani;323
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;140
 ; ; ; ;Tuji državljani;254
 ; ;2015;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;137
 ; ; ; ;Tuji državljani;334
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;120
 ; ; ; ;Tuji državljani;278
 ;5-9 let;;;;
 ; ;2000;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;22
 ; ; ; ;Tuji državljani;49
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;11
 ; ; ; ;Tuji državljani;71
 ; ;2001;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;19
 ; ; ; ;Tuji državljani;69
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;22
 ; ; ; ;Tuji državljani;77
 ; ;2002;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;19
 ; ; ; ;Tuji državljani;85
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;31
 ; ; ; ;Tuji državljani;82
 ; ;2003;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;22
 ; ; ; ;Tuji državljani;87
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;25
 ; ; ; ;Tuji državljani;96
 ; ;2004;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;41
 ; ; ; ;Tuji državljani;77
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;23
 ; ; ; ;Tuji državljani;89
 ; ;2005;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;57
 ; ; ; ;Tuji državljani;122
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;32
 ; ; ; ;Tuji državljani;114
 ; ;2006;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;36
 ; ; ; ;Tuji državljani;154
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;38
 ; ; ; ;Tuji državljani;138
 ; ;2007;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;20
 ; ; ; ;Tuji državljani;256
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;30
 ; ; ; ;Tuji državljani;217
 ; ;2008;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;63
 ; ; ; ;Tuji državljani;300
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;40
 ; ; ; ;Tuji državljani;284
 ; ;2009;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;52
 ; ; ; ;Tuji državljani;351
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;57
 ; ; ; ;Tuji državljani;292
 ; ;2010;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;58
 ; ; ; ;Tuji državljani;227
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;47
 ; ; ; ;Tuji državljani;178
 ; ;2011;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;61
 ; ; ; ;Tuji državljani;206
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;48
 ; ; ; ;Tuji državljani;214
 ; ;2012;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;70
 ; ; ; ;Tuji državljani;262
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;51
 ; ; ; ;Tuji državljani;237
 ; ;2013;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;48
 ; ; ; ;Tuji državljani;266
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;35
 ; ; ; ;Tuji državljani;253
 ; ;2014;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;45
 ; ; ; ;Tuji državljani;298
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;60
 ; ; ; ;Tuji državljani;237
 ; ;2015;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;61
 ; ; ; ;Tuji državljani;369
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;62
 ; ; ; ;Tuji državljani;312
 ;10-14 let;;;;
 ; ;2000;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;15
 ; ; ; ;Tuji državljani;66
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;14
 ; ; ; ;Tuji državljani;51
 ; ;2001;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;20
 ; ; ; ;Tuji državljani;59
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;28
 ; ; ; ;Tuji državljani;61
 ; ;2002;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;29
 ; ; ; ;Tuji državljani;61
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;27
 ; ; ; ;Tuji državljani;76
 ; ;2003;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;17
 ; ; ; ;Tuji državljani;77
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;21
 ; ; ; ;Tuji državljani;79
 ; ;2004;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;34
 ; ; ; ;Tuji državljani;75
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;30
 ; ; ; ;Tuji državljani;68
 ; ;2005;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;23
 ; ; ; ;Tuji državljani;152
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;25
 ; ; ; ;Tuji državljani;122
 ; ;2006;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;22
 ; ; ; ;Tuji državljani;176
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;16
 ; ; ; ;Tuji državljani;150
 ; ;2007;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;26
 ; ; ; ;Tuji državljani;236
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;31
 ; ; ; ;Tuji državljani;231
 ; ;2008;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;34
 ; ; ; ;Tuji državljani;312
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;35
 ; ; ; ;Tuji državljani;248
 ; ;2009;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;40
 ; ; ; ;Tuji državljani;309
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;51
 ; ; ; ;Tuji državljani;275
 ; ;2010;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;29
 ; ; ; ;Tuji državljani;203
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;38
 ; ; ; ;Tuji državljani;166
 ; ;2011;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;39
 ; ; ; ;Tuji državljani;209
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;24
 ; ; ; ;Tuji državljani;188
 ; ;2012;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;28
 ; ; ; ;Tuji državljani;243
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;23
 ; ; ; ;Tuji državljani;217
 ; ;2013;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;23
